tag_id,tag_similar_id,tag_name,tag_similar_word
L2_1,S1,糖尿病,糖尿病
L2_1,S2,糖尿病,DM
L2_1,S3,糖尿病,糖尿病人
L2_1,S4,糖尿病,糖尿病患者
L2_1,S5,糖尿病,认识糖尿病
L2_1,S6,糖尿病,Dm
L2_1,S7,糖尿病,dm
L2_1,S8,糖尿病,糖尿病病人
L2_2,S9,2型糖尿病,2型糖尿病
L2_2,S10,2型糖尿病,2型
L2_2,S11,2型糖尿病,Ⅱ型糖尿病
L2_2,S12,2型糖尿病,T2DM
L2_2,S13,2型糖尿病,二型糖尿病
L2_2,S14,2型糖尿病,二型
L2_2,S15,2型糖尿病,2 型糖尿
L2_2,S16,2型糖尿病,二型糖尿病
L2_2,S17,2型糖尿病,二性糖尿病
L2_3,S18,其它内分泌疾病,其它代谢性疾病
L2_3,S19,其它内分泌疾病,代谢综合征
L2_3,S20,其它内分泌疾病,多囊卵巢综合征
L2_3,S21,其它内分泌疾病,库欣综合征
L2_3,S22,其它内分泌疾病,低血钾
L2_3,S23,其它内分泌疾病,糖代谢性腺疾病
L2_3,S24,其它内分泌疾病,糖代谢异常指标
L2_3,S25,其它内分泌疾病,甲减
L2_3,S26,其它内分泌疾病,亚临床甲状腺功能减退症
L2_3,S27,其它内分泌疾病,肢端肥大症
L2_3,S28,其它内分泌疾病,高胰岛素血症
L2_3,S29,其它内分泌疾病,自身免疫性多内分泌腺病综合征
L2_3,S30,其它内分泌疾病,免疫性内分泌腺病综合征
L2_3,S31,其它内分泌疾病,抗磷脂综合症
L2_3,S32,其它内分泌疾病,APS
L2_3,S33,其它内分泌疾病,高尿酸血症
L2_3,S34,其它内分泌疾病,皮质功能不全
L2_3,S35,其它内分泌疾病,PCOS
L2_3,S36,其它内分泌疾病,甲亢
L2_3,S37,其它内分泌疾病,甲状腺疾病
L2_3,S38,其它内分泌疾病,亚甲炎
L2_3,S39,其它内分泌疾病,代谢疾病
L2_3,S40,其它内分泌疾病,女人长胡子
L2_3,S41,其它内分泌疾病,甲状腺肿
L2_3,S42,其它内分泌疾病,糖代谢紊乱
L2_3,S43,其它内分泌疾病,自身免疫综合征
