tag_id,tag_similar_id,tag_name,tag_similar_word
L2_1,S1,糖尿病,糖尿病
L2_1,S2,糖尿病,DM
L2_1,S3,糖尿病,糖尿病人
L2_1,S4,糖尿病,糖尿病患者
L2_1,S5,糖尿病,认识糖尿病
L2_2,S6,其它内分泌疾病,其它代谢性疾病
L2_2,S7,其它内分泌疾病,代谢综合征
L2_2,S8,其它内分泌疾病,多囊卵巢综合征
L2_2,S9,其它内分泌疾病,库欣综合征
L2_2,S10,其它内分泌疾病,低血钾
L2_2,S11,其它内分泌疾病,糖代谢性腺疾病
L2_2,S12,其它内分泌疾病,糖代谢异常指标
L2_2,S13,其它内分泌疾病,甲减
L2_2,S14,其它内分泌疾病,亚临床甲状腺功能减退症
L2_2,S15,其它内分泌疾病,肢端肥大症
L2_2,S16,其它内分泌疾病,高胰岛素血症
L2_2,S17,其它内分泌疾病,自身免疫性多内分泌腺病综合征
L2_2,S18,其它内分泌疾病,免疫性内分泌腺病综合征
L2_2,S19,其它内分泌疾病,抗磷脂综合症
L2_2,S20,其它内分泌疾病,APS
L2_2,S21,其它内分泌疾病,高尿酸血症
L2_2,S22,其它内分泌疾病,皮质功能不全
L2_2,S23,其它内分泌疾病,PCOS
L2_2,S24,其它内分泌疾病,甲亢
L2_2,S25,其它内分泌疾病,甲状腺疾病
L2_2,S26,其它内分泌疾病,亚甲炎
L2_2,S27,其它内分泌疾病,代谢疾病
L2_2,S28,其它内分泌疾病,女人长胡子
L2_2,S29,其它内分泌疾病,甲状腺肿
L2_2,S30,其它内分泌疾病,糖代谢紊乱
L2_2,S31,其它内分泌疾病,自身免疫综合征
L2_2,S32,其它内分泌疾病,高钾血症
L2_2,S33,其它内分泌疾病,生长激素瘤
L2_2,S34,其它内分泌疾病,Cushing病
L2_2,S35,其它内分泌疾病,Graves病
L2_2,S36,其它内分泌疾病,Prader-willi综合征
L2_2,S37,其它内分泌疾病,Turner综合征
L2_2,S38,其它内分泌疾病,甲状腺功能亢进
L2_2,S39,其它内分泌疾病,泌乳素瘤
L2_2,S40,其它内分泌疾病,肾上腺分泌
L2_2,S41,其它内分泌疾病,肾上腺功能
L2_2,S42,其它内分泌疾病,糖代谢异常
